barcode,item_name,print_barcode
0642498001727,Essential Bath & Shower Oils 3x9ml,X000Y4TYSB
0642498001642,Perfect Partners Relax & Revive 2x9ml,X000Y4X0NL
0642498002984,Deep Relax Sleep Mist 50ml,X000YPSQLL
0642498015731,Mini Shower Oils Gift Set,X000Z90ZZL
0642498003080,Ultimate Wellbeing Gift -10 x 9ml,X000Y4X0O5
0642498008634,Forest Therapy Bath & Shower Oil 55ml,X000Y50UER
0642498000584,DES: De-Stress Muscle Bath & Shower Oil 55ml,X000Y4YUT9
0642498000638,SUP: Support Breathe Bath & Shower Oil 55ml,X000Y50UDX
0642498000560,REL: Relax Deep Relax Bath & Shower Oil 55ml,X000Z910ZP
0642498000553,REL: Light Relax Bath & Shower Oil 55ml,X000Y50UE7
0642498000577,DES: De-Stress Mind Bath & Shower Oil 55ml,X000Y50UEH
0642498000607,REV: Revive Evening Bath & Shower Oil 55ml,X000Y4ZD8L
0642498000621,SUP:Support Equilibrium Bath & Shower Oil 55ml,X000ZCLNS1
0642498000614,SUP: Support Lavender&Peppermint B&S Oil 55ml,X000Y4YUTT
0642498003301,IS: Inner Strength Bath & Shower Oil 55ml,X000YOUSEF
0642498013003,Shower Oil Rose Nurture 250ml,X000Y4YUTJ
0642498013560,Rose B&S Oil 55ml,X000Z91PIR
0642498000591,REV: Revive Morning Bath & Shower Oil 55ml,X000Y4ZD95
0642498003905,REL: Relax Body Oil 100ml,X000Y4ZD8V
0642498003929,DES: De-Stress Body Oil 100ml,X000Y4X0OF
0642498005404,IS: Inner Strength Body Oil 100ml,X000Z91FHX
0642498003219,REV: Revive Body Oil 100ml,X000Z91ODN
0642498013188,COL: Discovery Bath Oil Collection 10x3ml,X000Y4X0NV
0642498016080,Festive 21 Our Favourite Moments,"X000Z91PIH
"
0642498016110,Festive 21 Ultimate Moment of Sleep,X000Z90ZZB
0642498016127,Festive 21 Mini Moment Deep Relax,X000Z91ODD
0642498016134,Festive 21 Mini Moment Forest Therapy,X000Z91FHN
0642498016158,Festive 21 Moment of Sleep Duo,X000ZA4M27
